"OBJECTID","POINT_X","POINT_Y"
58,497563.8476,315440.559
58,497638.0055,315444.0488
58,497638.878,315423.11
58,497626.6637,315422.6738
58,497627.9724,315429.2172
58,497574.3169,315429.2172
58,497575.6256,315421.3651
58,497563.4113,315421.3651
58,497563.8476,315440.559
59,497564.72,315399.9902
59,497575.1894,315401.2989
59,497576.9343,315392.1382
59,497629.2811,315396.9366
59,497629.2811,315403.0438
59,497642.3678,315403.9162
59,497642.804,315384.2862
59,497566.4649,315380.7964
59,497564.72,315399.9902
60,497697.3319,315375.9979
60,497711.7273,315377.3066
60,497710.4186,315370.327
60,497716.5258,315369.4546
60,497716.962,315363.3474
60,497720.4518,315363.3474
60,497720.0156,315354.623
60,497716.962,315355.0592
60,497717.3982,315345.4623
60,497714.7809,315345.026
60,497715.6533,315337.6102
60,497696.8957,315337.6102
60,497697.3319,315375.9979
61,497664.6152,315317.9802
61,497719.5793,315319.2889
61,497719.9219,315304.9016
